SOURCE_ID	RA_J2000 [deg]	Dec_J2000 [deg]	Flux_140_MHz [Jy]	Flux_140.2_MHz [Jy]	Flux_140.4_MHz [Jy]	Flux_140.6_MHz [Jy]	Flux_140.8_MHz [Jy]	Flux_141_MHz [Jy]	Flux_141.2_MHz [Jy]	Flux_141.4_MHz [Jy]	Flux_141.6_MHz [Jy]	Flux_141.8_MHz [Jy]	Flux_142_MHz [Jy]	Flux_142.2_MHz [Jy]	Flux_142.4_MHz [Jy]	Flux_142.6_MHz [Jy]	Flux_142.8_MHz [Jy]	Flux_143_MHz [Jy]	Flux_143.2_MHz [Jy]	Flux_143.4_MHz [Jy]	Flux_143.6_MHz [Jy]	Flux_143.8_MHz [Jy]	Flux_144_MHz [Jy]	Flux_144.2_MHz [Jy]	Flux_144.4_MHz [Jy]	Flux_144.6_MHz [Jy]	Flux_144.8_MHz [Jy]	Flux_145_MHz [Jy]	Flux_145.2_MHz [Jy]	Flux_145.4_MHz [Jy]	Flux_145.6_MHz [Jy]	Flux_145.8_MHz [Jy]	Flux_146_MHz [Jy]	Flux_146.2_MHz [Jy]	Flux_146.4_MHz [Jy]	Flux_146.6_MHz [Jy]	Flux_146.8_MHz [Jy]	Flux_147_MHz [Jy]	Flux_147.2_MHz [Jy]	Flux_147.4_MHz [Jy]	Flux_147.6_MHz [Jy]	Flux_147.8_MHz [Jy]	Flux_148_MHz [Jy]	Flux_148.2_MHz [Jy]	Flux_148.4_MHz [Jy]	Flux_148.6_MHz [Jy]	Flux_148.8_MHz [Jy]	Flux_149_MHz [Jy]	Flux_149.2_MHz [Jy]	Flux_149.4_MHz [Jy]	Flux_149.6_MHz [Jy]	Flux_149.8_MHz [Jy]	Flux_150_MHz [Jy]	Flux_150.2_MHz [Jy]	Flux_150.4_MHz [Jy]	Flux_150.6_MHz [Jy]	Flux_150.8_MHz [Jy]	Flux_151_MHz [Jy]	Flux_151.2_MHz [Jy]	Flux_151.4_MHz [Jy]	Flux_151.6_MHz [Jy]	Flux_151.8_MHz [Jy]	Flux_152_MHz [Jy]	Flux_152.2_MHz [Jy]	Flux_152.4_MHz [Jy]	Flux_152.6_MHz [Jy]	Flux_152.8_MHz [Jy]	Flux_153_MHz [Jy]	Flux_153.2_MHz [Jy]	Flux_153.4_MHz [Jy]	Flux_153.6_MHz [Jy]	Flux_153.8_MHz [Jy]	Flux_154_MHz [Jy]	Flux_154.2_MHz [Jy]	Flux_154.4_MHz [Jy]	Flux_154.6_MHz [Jy]	Flux_154.8_MHz [Jy]	Flux_155_MHz [Jy]	Flux_155.2_MHz [Jy]	Flux_155.4_MHz [Jy]	Flux_155.6_MHz [Jy]	Flux_155.8_MHz [Jy]	Flux_156_MHz [Jy]	Flux_156.2_MHz [Jy]	Flux_156.4_MHz [Jy]	Flux_156.6_MHz [Jy]	Flux_156.8_MHz [Jy]	Flux_157_MHz [Jy]	Flux_157.2_MHz [Jy]	Flux_157.4_MHz [Jy]	Flux_157.6_MHz [Jy]	Flux_157.8_MHz [Jy]	Flux_158_MHz [Jy]	Flux_158.2_MHz [Jy]	Flux_158.4_MHz [Jy]	Flux_158.6_MHz [Jy]	Flux_158.8_MHz [Jy]	Flux_159_MHz [Jy]	Flux_159.2_MHz [Jy]	Flux_159.4_MHz [Jy]	Flux_159.6_MHz [Jy]	Flux_159.8_MHz [Jy]
mock50	40.09452906	22.29914402	0.00377847	0.00376555	0.00375269	0.00373989	0.00372715	0.00371447	0.00370186	0.00368931	0.00367681	0.00366438	0.00365200	0.00363969	0.00362743	0.00361523	0.00360309	0.00359101	0.00357898	0.00356701	0.00355510	0.00354325	0.00353145	0.00351970	0.00350801	0.00349638	0.00348480	0.00347328	0.00346180	0.00345039	0.00343902	0.00342771	0.00341645	0.00340525	0.00339409	0.00338299	0.00337194	0.00336094	0.00334999	0.00333909	0.00332824	0.00331744	0.00330669	0.00329599	0.00328534	0.00327474	0.00326418	0.00325368	0.00324322	0.00323281	0.00322245	0.00321213	0.00320186	0.00319164	0.00318146	0.00317133	0.00316124	0.00315120	0.00314121	0.00313126	0.00312135	0.00311149	0.00310168	0.00309190	0.00308217	0.00307249	0.00306284	0.00305324	0.00304369	0.00303417	0.00302470	0.00301527	0.00300588	0.00299653	0.00298722	0.00297795	0.00296873	0.00295954	0.00295040	0.00294129	0.00293223	0.00292320	0.00291421	0.00290527	0.00289636	0.00288749	0.00287866	0.00286986	0.00286111	0.00285239	0.00284371	0.00283507	0.00282646	0.00281789	0.00280936	0.00280087	0.00279241	0.00278398	0.00277560	0.00276725	0.00275893	0.00275065
mock51	28.32388175	8.76837816	0.53055642	0.52955612	0.52855913	0.52756543	0.52657500	0.52558784	0.52460393	0.52362324	0.52264577	0.52167150	0.52070042	0.51973251	0.51876775	0.51780613	0.51684764	0.51589227	0.51493999	0.51399079	0.51304466	0.51210159	0.51116156	0.51022455	0.50929056	0.50835956	0.50743155	0.50650652	0.50558444	0.50466530	0.50374910	0.50283581	0.50192543	0.50101794	0.50011332	0.49921157	0.49831268	0.49741662	0.49652339	0.49563297	0.49474535	0.49386053	0.49297847	0.49209918	0.49122265	0.49034885	0.48947777	0.48860942	0.48774376	0.48688079	0.48602050	0.48516288	0.48430792	0.48345559	0.48260590	0.48175882	0.48091436	0.48007249	0.47923321	0.47839650	0.47756235	0.47673075	0.47590170	0.47507517	0.47425116	0.47342966	0.47261065	0.47179413	0.47098009	0.47016850	0.46935938	0.46855269	0.46774844	0.46694660	0.46614718	0.46535016	0.46455553	0.46376328	0.46297340	0.46218588	0.46140071	0.46061788	0.45983738	0.45905920	0.45828333	0.45750976	0.45673848	0.45596949	0.45520276	0.45443829	0.45367608	0.45291611	0.45215837	0.45140286	0.45064956	0.44989847	0.44914957	0.44840286	0.44765833	0.44691596	0.44617576	0.44543771
mock52	63.63750942	-18.33480405	0.06235027	0.06221810	0.06208640	0.06195516	0.06182439	0.06169408	0.06156422	0.06143483	0.06130588	0.06117739	0.06104935	0.06092176	0.06079461	0.06066791	0.06054164	0.06041582	0.06029043	0.06016548	0.06004096	0.05991687	0.05979321	0.05966997	0.05954716	0.05942477	0.05930280	0.05918125	0.05906012	0.05893940	0.05881909	0.05869920	0.05857971	0.05846062	0.05834194	0.05822367	0.05810579	0.05798832	0.05787124	0.05775455	0.05763826	0.05752236	0.05740684	0.05729172	0.05717698	0.05706263	0.05694865	0.05683506	0.05672185	0.05660901	0.05649655	0.05638446	0.05627274	0.05616139	0.05605041	0.05593980	0.05582955	0.05571967	0.05561014	0.05550098	0.05539217	0.05528372	0.05517562	0.05506788	0.05496049	0.05485345	0.05474675	0.05464041	0.05453441	0.05442875	0.05432343	0.05421846	0.05411382	0.05400952	0.05390556	0.05380193	0.05369863	0.05359567	0.05349303	0.05339073	0.05328875	0.05318709	0.05308576	0.05298475	0.05288407	0.05278370	0.05268365	0.05258392	0.05248450	0.05238540	0.05228661	0.05218813	0.05208996	0.05199210	0.05189454	0.05179730	0.05170035	0.05160371	0.05150737	0.05141134	0.05131560	0.05122016
mock53	57.71292401	40.70578663	0.00001360	0.00001356	0.00001352	0.00001348	0.00001344	0.00001340	0.00001336	0.00001332	0.00001328	0.00001324	0.00001320	0.00001316	0.00001313	0.00001309	0.00001305	0.00001301	0.00001297	0.00001293	0.00001290	0.00001286	0.00001282	0.00001278	0.00001275	0.00001271	0.00001267	0.00001264	0.00001260	0.00001256	0.00001253	0.00001249	0.00001245	0.00001242	0.00001238	0.00001235	0.00001231	0.00001228	0.00001224	0.00001221	0.00001217	0.00001214	0.00001210	0.00001207	0.00001203	0.00001200	0.00001197	0.00001193	0.00001190	0.00001187	0.00001183	0.00001180	0.00001177	0.00001173	0.00001170	0.00001167	0.00001164	0.00001160	0.00001157	0.00001154	0.00001151	0.00001148	0.00001144	0.00001141	0.00001138	0.00001135	0.00001132	0.00001129	0.00001126	0.00001122	0.00001119	0.00001116	0.00001113	0.00001110	0.00001107	0.00001104	0.00001101	0.00001098	0.00001095	0.00001092	0.00001089	0.00001086	0.00001084	0.00001081	0.00001078	0.00001075	0.00001072	0.00001069	0.00001066	0.00001063	0.00001061	0.00001058	0.00001055	0.00001052	0.00001049	0.00001047	0.00001044	0.00001041	0.00001038	0.00001035	0.00001033	0.00001030
mock54	39.93895056	33.89151198	0.02562295	0.02557942	0.02553602	0.02549275	0.02544962	0.02540662	0.02536376	0.02532103	0.02527843	0.02523596	0.02519363	0.02515142	0.02510935	0.02506740	0.02502559	0.02498390	0.02494233	0.02490090	0.02485959	0.02481841	0.02477735	0.02473642	0.02469561	0.02465493	0.02461437	0.02457393	0.02453361	0.02449342	0.02445334	0.02441339	0.02437356	0.02433384	0.02429425	0.02425477	0.02421541	0.02417617	0.02413704	0.02409803	0.02405914	0.02402036	0.02398170	0.02394315	0.02390472	0.02386639	0.02382819	0.02379009	0.02375211	0.02371423	0.02367647	0.02363882	0.02360128	0.02356385	0.02352652	0.02348931	0.02345220	0.02341520	0.02337831	0.02334153	0.02330485	0.02326828	0.02323181	0.02319545	0.02315919	0.02312304	0.02308699	0.02305104	0.02301520	0.02297946	0.02294382	0.02290828	0.02287284	0.02283751	0.02280227	0.02276714	0.02273210	0.02269716	0.02266232	0.02262758	0.02259294	0.02255840	0.02252395	0.02248960	0.02245534	0.02242118	0.02238712	0.02235315	0.02231928	0.02228550	0.02225181	0.02221822	0.02218472	0.02215131	0.02211800	0.02208478	0.02205165	0.02201861	0.02198566	0.02195280	0.02192004	0.02188736
mock55	30.07135050	-7.50078109	0.05233026	0.05222883	0.05212774	0.05202699	0.05192658	0.05182650	0.05172676	0.05162735	0.05152827	0.05142952	0.05133110	0.05123301	0.05113524	0.05103779	0.05094067	0.05084386	0.05074738	0.05065121	0.05055536	0.05045982	0.05036460	0.05026969	0.05017508	0.05008079	0.04998680	0.04989312	0.04979975	0.04970667	0.04961390	0.04952143	0.04942925	0.04933738	0.04924580	0.04915451	0.04906352	0.04897282	0.04888241	0.04879229	0.04870246	0.04861291	0.04852365	0.04843468	0.04834598	0.04825757	0.04816944	0.04808159	0.04799401	0.04790672	0.04781969	0.04773295	0.04764647	0.04756027	0.04747433	0.04738867	0.04730327	0.04721814	0.04713327	0.04704867	0.04696434	0.04688026	0.04679645	0.04671290	0.04662960	0.04654656	0.04646378	0.04638125	0.04629898	0.04621696	0.04613519	0.04605368	0.04597241	0.04589139	0.04581062	0.04573010	0.04564982	0.04556978	0.04548999	0.04541044	0.04533113	0.04525207	0.04517324	0.04509465	0.04501629	0.04493817	0.04486029	0.04478264	0.04470523	0.04462804	0.04455109	0.04447437	0.04439787	0.04432161	0.04424557	0.04416976	0.04409417	0.04401881	0.04394367	0.04386875	0.04379405	0.04371958
mock56	73.03488158	-32.35444610	0.22696396	0.22625559	0.22555043	0.22484848	0.22414969	0.22345407	0.22276159	0.22207223	0.22138597	0.22070280	0.22002269	0.21934563	0.21867161	0.21800059	0.21733257	0.21666753	0.21600545	0.21534631	0.21469010	0.21403680	0.21338638	0.21273885	0.21209417	0.21145233	0.21081332	0.21017712	0.20954371	0.20891308	0.20828521	0.20766008	0.20703768	0.20641800	0.20580102	0.20518671	0.20457508	0.20396610	0.20335975	0.20275603	0.20215491	0.20155639	0.20096044	0.20036706	0.19977622	0.19918792	0.19860214	0.19801887	0.19743809	0.19685979	0.19628395	0.19571056	0.19513961	0.19457108	0.19400496	0.19344123	0.19287989	0.19232092	0.19176431	0.19121004	0.19065810	0.19010848	0.18956116	0.18901613	0.18847339	0.18793291	0.18739469	0.18685871	0.18632495	0.18579342	0.18526410	0.18473696	0.18421201	0.18368923	0.18316861	0.18265013	0.18213379	0.18161957	0.18110747	0.18059746	0.18008955	0.17958371	0.17907994	0.17857823	0.17807856	0.17758092	0.17708531	0.17659171	0.17610011	0.17561051	0.17512288	0.17463722	0.17415352	0.17367178	0.17319197	0.17271408	0.17223812	0.17176407	0.17129191	0.17082164	0.17035325	0.16988673
mock57	72.34401766	76.15233199	0.15357948	0.15316785	0.15275792	0.15234966	0.15194307	0.15153815	0.15113487	0.15073324	0.15033323	0.14993486	0.14953809	0.14914294	0.14874938	0.14835741	0.14796701	0.14757820	0.14719094	0.14680524	0.14642108	0.14603846	0.14565738	0.14527781	0.14489976	0.14452321	0.14414815	0.14377459	0.14340251	0.14303190	0.14266276	0.14229507	0.14192883	0.14156404	0.14120068	0.14083875	0.14047823	0.14011913	0.13976143	0.13940513	0.13905022	0.13869669	0.13834454	0.13799375	0.13764433	0.13729626	0.13694953	0.13660415	0.13626009	0.13591737	0.13557596	0.13523586	0.13489707	0.13455958	0.13422338	0.13388846	0.13355482	0.13322246	0.13289136	0.13256152	0.13223293	0.13190559	0.13157948	0.13125461	0.13093097	0.13060855	0.13028734	0.12996735	0.12964855	0.12933095	0.12901454	0.12869932	0.12838527	0.12807240	0.12776069	0.12745014	0.12714075	0.12683251	0.12652541	0.12621945	0.12591462	0.12561092	0.12530833	0.12500686	0.12470651	0.12440725	0.12410910	0.12381204	0.12351606	0.12322117	0.12292736	0.12263461	0.12234294	0.12205232	0.12176277	0.12147426	0.12118680	0.12090038	0.12061499	0.12033064	0.12004731	0.11976500
mock58	91.42965305	-20.15286314	0.05854690	0.05831186	0.05807809	0.05784559	0.05761435	0.05738437	0.05715562	0.05692811	0.05670182	0.05647675	0.05625289	0.05603023	0.05580876	0.05558847	0.05536937	0.05515143	0.05493465	0.05471902	0.05450454	0.05429120	0.05407899	0.05386789	0.05365792	0.05344905	0.05324128	0.05303460	0.05282901	0.05262450	0.05242106	0.05221868	0.05201736	0.05181709	0.05161787	0.05141968	0.05122252	0.05102638	0.05083126	0.05063715	0.05044404	0.05025192	0.05006080	0.04987066	0.04968150	0.04949331	0.04930608	0.04911982	0.04893450	0.04875013	0.04856670	0.04838420	0.04820263	0.04802199	0.04784226	0.04766344	0.04748552	0.04730850	0.04713238	0.04695714	0.04678279	0.04660931	0.04643670	0.04626495	0.04609407	0.04592404	0.04575486	0.04558652	0.04541902	0.04525235	0.04508651	0.04492149	0.04475729	0.04459390	0.04443132	0.04426954	0.04410856	0.04394837	0.04378897	0.04363034	0.04347250	0.04331543	0.04315913	0.04300359	0.04284881	0.04269478	0.04254150	0.04238897	0.04223718	0.04208612	0.04193579	0.04178619	0.04163731	0.04148915	0.04134171	0.04119497	0.04104894	0.04090360	0.04075897	0.04061502	0.04047177	0.04032920
mock59	121.50679669	-13.45383564	12.61419871	12.58171503	12.54936112	12.51713630	12.48503985	12.45307108	12.42122932	12.38951387	12.35792405	12.32645920	12.29511864	12.26390171	12.23280774	12.20183608	12.17098609	12.14025710	12.10964849	12.07915960	12.04878981	12.01853848	11.98840500	11.95838873	11.92848907	11.89870539	11.86903709	11.83948356	11.81004420	11.78071841	11.75150561	11.72240519	11.69341658	11.66453919	11.63577245	11.60711578	11.57856861	11.55013037	11.52180050	11.49357844	11.46546364	11.43745554	11.40955360	11.38175726	11.35406600	11.32647926	11.29899652	11.27161724	11.24434090	11.21716698	11.19009494	11.16312428	11.13625448	11.10948503	11.08281543	11.05624515	11.02977372	11.00340062	10.97712537	10.95094747	10.92486643	10.89888177	10.87299300	10.84719965	10.82150124	10.79589730	10.77038735	10.74497093	10.71964757	10.69441681	10.66927820	10.64423128	10.61927559	10.59441068	10.56963612	10.54495144	10.52035622	10.49585000	10.47143237	10.44710287	10.42286108	10.39870658	10.37463893	10.35065772	10.32676252	10.30295291	10.27922849	10.25558883	10.23203353	10.20856217	10.18517436	10.16186969	10.13864777	10.11550818	10.09245054	10.06947445	10.04657953	10.02376538	10.00103163	9.97837787	9.95580374	9.93330885
mock60	10.97989206	15.00675520	0.02192306	0.02186034	0.02179788	0.02173570	0.02167378	0.02161212	0.02155073	0.02148960	0.02142872	0.02136811	0.02130775	0.02124764	0.02118779	0.02112820	0.02106885	0.02100975	0.02095090	0.02089230	0.02083394	0.02077583	0.02071795	0.02066032	0.02060293	0.02054578	0.02048887	0.02043219	0.02037574	0.02031953	0.02026355	0.02020781	0.02015229	0.02009700	0.02004193	0.01998710	0.01993248	0.01987809	0.01982393	0.01976998	0.01971625	0.01966274	0.01960945	0.01955637	0.01950351	0.01945087	0.01939843	0.01934621	0.01929420	0.01924240	0.01919080	0.01913941	0.01908823	0.01903725	0.01898648	0.01893591	0.01888554	0.01883537	0.01878540	0.01873563	0.01868606	0.01863668	0.01858750	0.01853851	0.01848971	0.01844111	0.01839270	0.01834448	0.01829644	0.01824860	0.01820094	0.01815347	0.01810619	0.01805909	0.01801217	0.01796543	0.01791888	0.01787251	0.01782631	0.01778030	0.01773446	0.01768880	0.01764331	0.01759800	0.01755287	0.01750791	0.01746312	0.01741850	0.01737405	0.01732977	0.01728566	0.01724172	0.01719795	0.01715434	0.01711090	0.01706762	0.01702450	0.01698155	0.01693876	0.01689614	0.01685367	0.01681136
mock61	34.03413290	58.59388315	0.38671272	0.38531754	0.38392938	0.38254819	0.38117391	0.37980651	0.37844595	0.37709218	0.37574515	0.37440482	0.37307116	0.37174411	0.37042364	0.36910970	0.36780225	0.36650126	0.36520667	0.36391846	0.36263657	0.36136098	0.36009164	0.35882850	0.35757154	0.35632072	0.35507599	0.35383731	0.35260466	0.35137799	0.35015726	0.34894244	0.34773349	0.34653038	0.34533307	0.34414151	0.34295569	0.34177556	0.34060108	0.33943223	0.33826897	0.33711126	0.33595907	0.33481236	0.33367111	0.33253528	0.33140483	0.33027974	0.32915996	0.32804548	0.32693625	0.32583225	0.32473345	0.32363980	0.32255129	0.32146787	0.32038953	0.31931622	0.31824793	0.31718461	0.31612624	0.31507279	0.31402424	0.31298054	0.31194168	0.31090762	0.30987834	0.30885380	0.30783398	0.30681886	0.30580839	0.30480257	0.30380135	0.30280472	0.30181264	0.30082508	0.29984203	0.29886346	0.29788933	0.29691963	0.29595433	0.29499339	0.29403681	0.29308455	0.29213658	0.29119288	0.29025344	0.28931821	0.28838718	0.28746033	0.28653763	0.28561905	0.28470458	0.28379418	0.28288784	0.28198553	0.28108724	0.28019293	0.27930258	0.27841618	0.27753369	0.27665511
mock62	113.69224222	-20.41599743	0.00171722	0.00171061	0.00170404	0.00169750	0.00169100	0.00168453	0.00167810	0.00167170	0.00166533	0.00165900	0.00165270	0.00164643	0.00164020	0.00163399	0.00162782	0.00162168	0.00161558	0.00160950	0.00160346	0.00159744	0.00159146	0.00158551	0.00157959	0.00157370	0.00156783	0.00156200	0.00155620	0.00155043	0.00154469	0.00153897	0.00153329	0.00152763	0.00152201	0.00151641	0.00151084	0.00150529	0.00149978	0.00149429	0.00148883	0.00148340	0.00147799	0.00147261	0.00146726	0.00146194	0.00145664	0.00145136	0.00144612	0.00144090	0.00143570	0.00143053	0.00142539	0.00142027	0.00141518	0.00141011	0.00140507	0.00140005	0.00139506	0.00139009	0.00138514	0.00138022	0.00137532	0.00137045	0.00136560	0.00136077	0.00135597	0.00135119	0.00134643	0.00134170	0.00133699	0.00133230	0.00132763	0.00132299	0.00131837	0.00131377	0.00130919	0.00130464	0.00130010	0.00129559	0.00129110	0.00128663	0.00128218	0.00127775	0.00127335	0.00126896	0.00126460	0.00126025	0.00125593	0.00125163	0.00124734	0.00124308	0.00123884	0.00123461	0.00123041	0.00122622	0.00122206	0.00121791	0.00121379	0.00120968	0.00120559	0.00120152
mock63	98.66817325	26.16483240	0.04740100	0.04729117	0.04718175	0.04707274	0.04696414	0.04685594	0.04674815	0.04664075	0.04653375	0.04642715	0.04632094	0.04621512	0.04610970	0.04600466	0.04590001	0.04579574	0.04569185	0.04558835	0.04548522	0.04538247	0.04528009	0.04517809	0.04507645	0.04497519	0.04487429	0.04477376	0.04467359	0.04457378	0.04447433	0.04437524	0.04427651	0.04417813	0.04408010	0.04398242	0.04388510	0.04378812	0.04369148	0.04359519	0.04349924	0.04340364	0.04330837	0.04321344	0.04311884	0.04302458	0.04293065	0.04283706	0.04274379	0.04265085	0.04255823	0.04246594	0.04237398	0.04228233	0.04219100	0.04209999	0.04200930	0.04191893	0.04182886	0.04173911	0.04164967	0.04156054	0.04147172	0.04138320	0.04129499	0.04120708	0.04111948	0.04103217	0.04094516	0.04085846	0.04077204	0.04068592	0.04060010	0.04051457	0.04042932	0.04034437	0.04025971	0.04017533	0.04009124	0.04000743	0.03992390	0.03984066	0.03975769	0.03967501	0.03959260	0.03951046	0.03942861	0.03934702	0.03926571	0.03918467	0.03910390	0.03902340	0.03894316	0.03886320	0.03878349	0.03870405	0.03862488	0.03854596	0.03846730	0.03838891	0.03831077	0.03823288
mock64	81.32163436	15.71161465	0.61855532	0.61648105	0.61441668	0.61236214	0.61031738	0.60828234	0.60625695	0.60424116	0.60223490	0.60023812	0.59825077	0.59627278	0.59430409	0.59234466	0.59039441	0.58845331	0.58652128	0.58459828	0.58268426	0.58077915	0.57888290	0.57699547	0.57511679	0.57324681	0.57138549	0.56953277	0.56768860	0.56585293	0.56402570	0.56220687	0.56039638	0.55859419	0.55680025	0.55501451	0.55323692	0.55146743	0.54970599	0.54795256	0.54620709	0.54446953	0.54273984	0.54101797	0.53930387	0.53759750	0.53589881	0.53420776	0.53252431	0.53084840	0.52918000	0.52751906	0.52586554	0.52421940	0.52258059	0.52094907	0.51932480	0.51770774	0.51609784	0.51449507	0.51289938	0.51131073	0.50972909	0.50815440	0.50658665	0.50502577	0.50347174	0.50192451	0.50038405	0.49885032	0.49732328	0.49580290	0.49428912	0.49278193	0.49128127	0.48978712	0.48829943	0.48681818	0.48534332	0.48387482	0.48241264	0.48095676	0.47950712	0.47806370	0.47662647	0.47519538	0.47377042	0.47235153	0.47093869	0.46953186	0.46813102	0.46673612	0.46534714	0.46396404	0.46258679	0.46121536	0.45984972	0.45848983	0.45713566	0.45578719	0.45444438	0.45310720
mock65	114.97499011	25.57485736	0.00201462	0.00200782	0.00200104	0.00199430	0.00198760	0.00198092	0.00197428	0.00196766	0.00196108	0.00195453	0.00194802	0.00194153	0.00193507	0.00192865	0.00192225	0.00191588	0.00190955	0.00190324	0.00189696	0.00189072	0.00188450	0.00187831	0.00187215	0.00186602	0.00185992	0.00185384	0.00184779	0.00184178	0.00183579	0.00182982	0.00182389	0.00181798	0.00181210	0.00180624	0.00180042	0.00179462	0.00178884	0.00178310	0.00177737	0.00177168	0.00176601	0.00176037	0.00175475	0.00174916	0.00174359	0.00173805	0.00173253	0.00172704	0.00172157	0.00171613	0.00171071	0.00170532	0.00169995	0.00169460	0.00168928	0.00168398	0.00167871	0.00167345	0.00166823	0.00166302	0.00165784	0.00165268	0.00164755	0.00164243	0.00163734	0.00163227	0.00162723	0.00162220	0.00161720	0.00161222	0.00160726	0.00160233	0.00159741	0.00159252	0.00158765	0.00158279	0.00157796	0.00157316	0.00156837	0.00156360	0.00155885	0.00155413	0.00154942	0.00154473	0.00154007	0.00153542	0.00153080	0.00152619	0.00152160	0.00151704	0.00151249	0.00150796	0.00150345	0.00149896	0.00149449	0.00149004	0.00148561	0.00148119	0.00147680	0.00147242
mock66	45.71771018	37.32821239	4.55693099	4.54163306	4.52640819	4.51125592	4.49617580	4.48116739	4.46623024	4.45136393	4.43656800	4.42184204	4.40718560	4.39259827	4.37807962	4.36362924	4.34924671	4.33493161	4.32068353	4.30650208	4.29238684	4.27833741	4.26435340	4.25043441	4.23658005	4.22278993	4.20906366	4.19540087	4.18180116	4.16826417	4.15478952	4.14137683	4.12802574	4.11473588	4.10150689	4.08833840	4.07523005	4.06218150	4.04919238	4.03626235	4.02339106	4.01057815	3.99782330	3.98512615	3.97248637	3.95990362	3.94737757	3.93490789	3.92249425	3.91013632	3.89783377	3.88558630	3.87339357	3.86125527	3.84917109	3.83714071	3.82516382	3.81324011	3.80136928	3.78955103	3.77778504	3.76607103	3.75440869	3.74279773	3.73123785	3.71972877	3.70827019	3.69686183	3.68550340	3.67419462	3.66293521	3.65172488	3.64056337	3.62945039	3.61838567	3.60736894	3.59639994	3.58547838	3.57460401	3.56377656	3.55299577	3.54226138	3.53157312	3.52093075	3.51033401	3.49978264	3.48927639	3.47881502	3.46839826	3.45802589	3.44769764	3.43741328	3.42717257	3.41697527	3.40682113	3.39670992	3.38664141	3.37661536	3.36663154	3.35668971	3.34678966	3.33693115
mock67	120.09839496	38.07349003	0.00039905	0.00039819	0.00039734	0.00039649	0.00039564	0.00039480	0.00039396	0.00039312	0.00039229	0.00039146	0.00039063	0.00038980	0.00038898	0.00038816	0.00038734	0.00038653	0.00038572	0.00038491	0.00038410	0.00038330	0.00038250	0.00038170	0.00038091	0.00038012	0.00037933	0.00037854	0.00037776	0.00037698	0.00037620	0.00037543	0.00037465	0.00037388	0.00037312	0.00037235	0.00037159	0.00037083	0.00037007	0.00036932	0.00036857	0.00036782	0.00036707	0.00036633	0.00036558	0.00036484	0.00036411	0.00036337	0.00036264	0.00036191	0.00036118	0.00036046	0.00035974	0.00035902	0.00035830	0.00035759	0.00035687	0.00035616	0.00035546	0.00035475	0.00035405	0.00035335	0.00035265	0.00035195	0.00035126	0.00035056	0.00034988	0.00034919	0.00034850	0.00034782	0.00034714	0.00034646	0.00034579	0.00034511	0.00034444	0.00034377	0.00034310	0.00034244	0.00034178	0.00034111	0.00034046	0.00033980	0.00033914	0.00033849	0.00033784	0.00033719	0.00033655	0.00033590	0.00033526	0.00033462	0.00033398	0.00033335	0.00033271	0.00033208	0.00033145	0.00033082	0.00033020	0.00032957	0.00032895	0.00032833	0.00032771	0.00032710
mock68	79.33343721	-27.27642169	0.28930566	0.28882372	0.28834327	0.28786430	0.28738680	0.28691077	0.28643620	0.28596309	0.28549143	0.28502121	0.28455242	0.28408506	0.28361913	0.28315461	0.28269150	0.28222980	0.28176949	0.28131058	0.28085305	0.28039690	0.27994213	0.27948872	0.27903667	0.27858598	0.27813664	0.27768864	0.27724198	0.27679665	0.27635264	0.27590996	0.27546859	0.27502853	0.27458977	0.27415231	0.27371615	0.27328126	0.27284766	0.27241534	0.27198428	0.27155449	0.27112596	0.27069868	0.27027265	0.26984786	0.26942431	0.26900200	0.26858091	0.26816104	0.26774239	0.26732495	0.26690871	0.26649368	0.26607985	0.26566720	0.26525574	0.26484547	0.26443637	0.26402844	0.26362168	0.26321607	0.26281163	0.26240834	0.26200619	0.26160519	0.26120533	0.26080660	0.26040899	0.26001252	0.25961715	0.25922291	0.25882977	0.25843774	0.25804681	0.25765698	0.25726824	0.25688058	0.25649401	0.25610852	0.25572410	0.25534075	0.25495847	0.25457724	0.25419708	0.25381796	0.25343990	0.25306288	0.25268689	0.25231195	0.25193803	0.25156515	0.25119328	0.25082244	0.25045261	0.25008379	0.24971597	0.24934917	0.24898335	0.24861854	0.24825471	0.24789188
